NT;3
HP;140
C;ID;CE;S
132-I;1;0;2
132-I;3;1;3
132-I;1;0;2
132-F;1;1;4
133-I;2;0;2
133-F;2;1;2
134-I;2;1;2
134-F;2;2;4
135-I;3;1;2
135-F;3;2;2
136-I;1;0;2
136-I;3;2;3
136-I;1;0;2
136-F;1;1;4
137-I;3;2;2
137-F;3;3;2
138-I;3;3;2
138-F;3;4;2
139-I;3;4;2
139-F;3;5;4
140-I;1;0;2
140-F;1;1;4
